Dog;Sex;Breed;Age(m);subgroup;subgroup_described;demonstrator;targett.;touchscr.;eyetrack;Sniff_LID_binary;Sniff_DOT_binary;Sniff_lid_dot_binary;dot_blue;dot_yellow;lid(L-to-R);lid(R-to-L);Right_order_dots;copying_fidelity;at_least_1dot;2dots(incorrectly);opening_lid_however;1dot+lid;1dot+lid_corr;2dots+lid;2dots+lid_corr;proxi_lid_BIN;sniff_and_proxi_lid;sniff_and_proxi_lid_AND_opening_lid;just_sniff_AND_opening_the_lid;proxi_dots_BIN;sniff_and_proxi_dots;sniff_proxi_dots_AND_touch;touching_dots;fidelity_IRRELEVANT;fidelity_RELEVANT;
Cooper3;2;mix;41;3;irr+rel;owner;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;0;0;0;1;4;
Emely1;1;bernese_mountain;65;3;irr+rel;owner;1;0;0;1;1;1;1;1;0;1;0;2;1;1;1;1;1;1;1;1;1;2;2;1;1;2;2;4;4;
Jago;2;belg shepherd;31;3;irr+rel;owner;0;0;0;1;1;1;0;1;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;2;1;3;2;
Kiki2;1;mix;34;3;irr+rel;owner;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Kira3;1;flat_coated_retriever;118;3;irr+rel;owner;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;2;
Luna19;1;mix;123;3;irr+rel;owner;1;0;0;1;1;1;1;1;0;1;1;3;1;0;1;1;1;1;1;1;1;2;2;1;1;2;2;5;4;
Ophelia;1;viszla;98;3;irr+rel;owner;1;0;0;1;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;1;1;2;2;1;1;1;0;2;4;
Ronja4;1;jack_russel;77;3;irr+rel;owner;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
Samson;2;am._stafford;23;3;irr+rel;owner;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;2;1;3;2;
Trixie;1;mix;18;3;irr+rel;owner;0;0;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0;0;0;1;1;1;1;1;1;2;1;3;2;
Bela;2;australian_shepherd;30;4;rel+irr;owner;1;0;0;1;0;0;1;0;1;0;0;1;1;0;1;1;0;0;0;1;1;2;2;1;0;1;1;3;3;
Flamme;2;Pyrénées;115;4;rel+irr;owner;1;1;0;0;1;0;1;1;0;0;0;2;1;1;0;0;0;0;0;1;0;0;0;1;1;2;2;4;1;
